service_id,date,exception_type
土休日,20240101,2
平日,20240101,2
土休日,20240102,2
平日,20240102,2
土休日,20240103,2
平日,20240103,2
土休日,20240108,1
平日,20240108,2
土休日,20240211,1
平日,20240211,2
土休日,20240212,1
平日,20240212,2
土休日,20240223,1
平日,20240223,2
土休日,20240320,1
平日,20240320,2
土休日,20240429,1
平日,20240429,2
土休日,20240503,1
平日,20240503,2
土休日,20240504,1
平日,20240504,2
土休日,20240505,1
平日,20240505,2
土休日,20240506,1
平日,20240506,2
土休日,20240715,1
平日,20240715,2
土休日,20240811,1
平日,20240811,2
土休日,20240812,1
平日,20240812,2
土休日,20240916,1
平日,20240916,2
土休日,20240922,1
平日,20240922,2
土休日,20240923,1
平日,20240923,2
土休日,20241014,1
平日,20241014,2
土休日,20241103,1
平日,20241103,2
土休日,20241104,1
平日,20241104,2
土休日,20241123,1
平日,20241123,2
土休日,20241229,2
平日,20241229,2
土休日,20241230,2
平日,20241230,2
土休日,20241231,2
平日,20241231,2
土休日,20250101,2
平日,20250101,2
土休日,20250102,2
平日,20250102,2
土休日,20250103,2
平日,20250103,2
土休日,20250113,1
平日,20250113,2
土休日,20250211,1
平日,20250211,2
土休日,20250223,1
平日,20250223,2
土休日,20250224,1
平日,20250224,2
土休日,20250320,1
平日,20250320,2
土休日,20250429,1
平日,20250429,2
土休日,20250503,1
平日,20250503,2
土休日,20250504,1
平日,20250504,2
土休日,20250505,1
平日,20250505,2
土休日,20250506,1
平日,20250506,2
土休日,20250721,1
平日,20250721,2
土休日,20250811,1
平日,20250811,2
土休日,20250915,1
平日,20250915,2
土休日,20250923,1
平日,20250923,2
土休日,20251013,1
平日,20251013,2
土休日,20251103,1
平日,20251103,2
土休日,20251123,1
平日,20251123,2
土休日,20251124,1
平日,20251124,2
土休日,20251229,2
平日,20251229,2
土休日,20251230,2
平日,20251230,2
土休日,20251231,2
平日,20251231,2
土休日,20260101,2
平日,20260101,2
土休日,20260102,2
平日,20260102,2
土休日,20260103,2
平日,20260103,2
土休日,20260112,1
平日,20260112,2
土休日,20260211,1
平日,20260211,2
土休日,20260223,1
平日,20260223,2
土休日,20260320,1
平日,20260320,2
土休日,20260429,1
平日,20260429,2
土休日,20260503,1
平日,20260503,2
土休日,20260504,1
平日,20260504,2
土休日,20260505,1
平日,20260505,2
土休日,20260506,1
平日,20260506,2
土休日,20260720,1
平日,20260720,2
土休日,20260811,1
平日,20260811,2
土休日,20260921,1
平日,20260921,2
土休日,20260922,1
平日,20260922,2
土休日,20260923,1
平日,20260923,2
土休日,20261012,1
平日,20261012,2
土休日,20261103,1
平日,20261103,2
土休日,20261123,1
平日,20261123,2
土休日,20261229,2
平日,20261229,2
土休日,20261230,2
平日,20261230,2
土休日,20261231,2
平日,20261231,2
土休日,20270101,2
平日,20270101,2
土休日,20270102,2
平日,20270102,2
土休日,20270103,2
平日,20270103,2
土休日,20270111,1
平日,20270111,2
土休日,20270211,1
平日,20270211,2
土休日,20270223,1
平日,20270223,2
土休日,20270321,1
平日,20270321,2
土休日,20270322,1
平日,20270322,2
