trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
3++平日+1,7:40:00,7:40:00,1_0,1,,0,1,1
3++平日+1,7:43:00,7:43:00,3_1,2,,0,0,1
3++平日+1,7:47:00,7:47:00,29_0,3,,0,0,1
3++平日+1,7:55:00,7:55:00,1_0,17,,1,0,1
3++平日+2,8:00:00,8:00:00,1_0,1,,0,1,1
3++平日+2,8:03:00,8:03:00,3_1,2,,0,0,1
3++平日+2,8:07:00,8:07:00,29_0,3,,0,0,1
3++平日+2,8:15:00,8:15:00,1_0,17,,1,0,1
3++平日+3,8:26:00,8:26:00,1_0,1,,0,1,1
3++平日+3,8:29:00,8:29:00,3_1,2,,0,0,1
3++平日+3,8:34:00,8:34:00,29_0,3,,0,0,1
3++平日+3,8:35:00,8:35:00,3_2,4,,0,0,1
3++平日+3,8:37:00,8:37:00,30_1,5,,0,0,1
3++平日+3,8:38:00,8:38:00,31_1,6,,0,0,1
3++平日+3,8:39:00,8:39:00,32_1,7,,0,0,1
3++平日+3,8:42:00,8:42:00,34_0,8,,0,0,1
3++平日+3,8:44:00,8:44:00,35_0,9,,0,0,1
3++平日+3,8:45:00,8:45:00,36_0,10,,0,0,1
3++平日+3,8:47:00,8:47:00,32_2,11,,0,0,1
3++平日+3,8:48:00,8:48:00,31_2,12,,0,0,1
3++平日+3,8:50:00,8:50:00,30_2,13,,0,0,1
3++平日+3,9:01:00,9:01:00,1_0,17,,1,0,1
3++平日+4,9:35:00,9:35:00,1_0,1,,0,1,1
3++平日+4,9:38:00,9:38:00,3_1,2,,0,0,1
3++平日+4,9:43:00,9:43:00,29_0,3,,0,0,1
3++平日+4,9:44:00,9:44:00,3_2,4,,0,0,1
3++平日+4,9:46:00,9:46:00,30_1,5,,0,0,1
3++平日+4,9:47:00,9:47:00,31_1,6,,0,0,1
3++平日+4,9:48:00,9:48:00,32_1,7,,0,0,1
3++平日+4,9:51:00,9:51:00,34_0,8,,0,0,1
3++平日+4,9:53:00,9:53:00,35_0,9,,0,0,1
3++平日+4,9:54:00,9:54:00,36_0,10,,0,0,1
3++平日+4,9:56:00,9:56:00,32_2,11,,0,0,1
3++平日+4,9:57:00,9:57:00,31_2,12,,0,0,1
3++平日+4,9:59:00,9:59:00,30_2,13,,0,0,1
3++平日+4,10:10:00,10:10:00,1_0,17,,1,0,1
3++平日+5,10:22:00,10:22:00,1_0,1,,0,1,1
3++平日+5,10:25:00,10:25:00,3_1,2,,0,0,1
3++平日+5,10:30:00,10:30:00,29_0,3,,0,0,1
3++平日+5,10:31:00,10:31:00,3_2,4,,0,0,1
3++平日+5,10:33:00,10:33:00,30_1,5,,0,0,1
3++平日+5,10:34:00,10:34:00,31_1,6,,0,0,1
3++平日+5,10:35:00,10:35:00,32_1,7,,0,0,1
3++平日+5,10:38:00,10:38:00,34_0,8,,0,0,1
3++平日+5,10:40:00,10:40:00,35_0,9,,0,0,1
3++平日+5,10:41:00,10:41:00,36_0,10,,0,0,1
3++平日+5,10:43:00,10:43:00,32_2,11,,0,0,1
3++平日+5,10:44:00,10:44:00,31_2,12,,0,0,1
3++平日+5,10:46:00,10:46:00,30_2,13,,0,0,1
3++平日+5,10:57:00,10:57:00,1_0,17,,1,0,1
3++平日+6,12:35:00,12:35:00,1_0,1,,0,1,1
3++平日+6,12:38:00,12:38:00,3_1,2,,0,0,1
3++平日+6,12:43:00,12:43:00,29_0,3,,0,0,1
3++平日+6,12:44:00,12:44:00,3_2,4,,0,0,1
3++平日+6,12:46:00,12:46:00,30_1,5,,0,0,1
3++平日+6,12:47:00,12:47:00,31_1,6,,0,0,1
3++平日+6,12:48:00,12:48:00,32_1,7,,0,0,1
3++平日+6,12:51:00,12:51:00,34_0,8,,0,0,1
3++平日+6,12:53:00,12:53:00,35_0,9,,0,0,1
3++平日+6,12:54:00,12:54:00,36_0,10,,0,0,1
3++平日+6,12:56:00,12:56:00,32_2,11,,0,0,1
3++平日+6,12:57:00,12:57:00,31_2,12,,0,0,1
3++平日+6,12:59:00,12:59:00,30_2,13,,0,0,1
3++平日+6,13:10:00,13:10:00,1_0,17,,1,0,1
3++平日+7,13:25:00,13:25:00,1_0,1,,0,1,1
3++平日+7,13:28:00,13:28:00,3_1,2,,0,0,1
3++平日+7,13:33:00,13:33:00,29_0,3,,0,0,1
3++平日+7,13:34:00,13:34:00,3_2,4,,0,0,1
3++平日+7,13:36:00,13:36:00,30_1,5,,0,0,1
3++平日+7,13:37:00,13:37:00,31_1,6,,0,0,1
3++平日+7,13:38:00,13:38:00,32_1,7,,0,0,1
3++平日+7,13:41:00,13:41:00,34_0,8,,0,0,1
3++平日+7,13:43:00,13:43:00,35_0,9,,0,0,1
3++平日+7,13:44:00,13:44:00,36_0,10,,0,0,1
3++平日+7,13:46:00,13:46:00,32_2,11,,0,0,1
3++平日+7,13:47:00,13:47:00,31_2,12,,0,0,1
3++平日+7,13:49:00,13:49:00,30_2,13,,0,0,1
3++平日+7,14:00:00,14:00:00,1_0,17,,1,0,1
3++平日+8,14:25:00,14:25:00,1_0,1,,0,1,1
3++平日+8,14:28:00,14:28:00,3_1,2,,0,0,1
3++平日+8,14:33:00,14:33:00,29_0,3,,0,0,1
3++平日+8,14:34:00,14:34:00,3_2,4,,0,0,1
3++平日+8,14:36:00,14:36:00,30_1,5,,0,0,1
3++平日+8,14:37:00,14:37:00,31_1,6,,0,0,1
3++平日+8,14:38:00,14:38:00,32_1,7,,0,0,1
3++平日+8,14:41:00,14:41:00,34_0,8,,0,0,1
3++平日+8,14:43:00,14:43:00,35_0,9,,0,0,1
3++平日+8,14:44:00,14:44:00,36_0,10,,0,0,1
3++平日+8,14:46:00,14:46:00,32_2,11,,0,0,1
3++平日+8,14:47:00,14:47:00,31_2,12,,0,0,1
3++平日+8,14:49:00,14:49:00,30_2,13,,0,0,1
3++平日+8,15:00:00,15:00:00,1_0,17,,1,0,1
3++平日+9,15:25:00,15:25:00,1_0,1,,0,1,1
3++平日+9,15:28:00,15:28:00,3_1,2,,0,0,1
3++平日+9,15:33:00,15:33:00,29_0,3,,0,0,1
3++平日+9,15:34:00,15:34:00,3_2,4,,0,0,1
3++平日+9,15:36:00,15:36:00,30_1,5,,0,0,1
3++平日+9,15:37:00,15:37:00,31_1,6,,0,0,1
3++平日+9,15:38:00,15:38:00,32_1,7,,0,0,1
3++平日+9,15:41:00,15:41:00,34_0,8,,0,0,1
3++平日+9,15:43:00,15:43:00,35_0,9,,0,0,1
3++平日+9,15:44:00,15:44:00,36_0,10,,0,0,1
3++平日+9,15:46:00,15:46:00,32_2,11,,0,0,1
3++平日+9,15:47:00,15:47:00,31_2,12,,0,0,1
3++平日+9,15:48:00,15:48:00,30_2,13,,0,0,1
3++平日+9,15:50:00,15:50:00,3_1,14,,0,0,1
3++平日+9,15:56:00,15:56:00,29_0,15,,0,0,1
3++平日+9,15:57:00,15:57:00,3_2,16,,0,0,1
3++平日+9,16:07:00,16:07:00,1_0,17,,1,0,1
3++平日+10,16:20:00,16:20:00,1_0,1,,0,1,1
3++平日+10,16:23:00,16:23:00,3_1,2,,0,0,1
3++平日+10,16:28:00,16:28:00,29_0,3,,0,0,1
3++平日+10,16:29:00,16:29:00,3_2,4,,0,0,1
3++平日+10,16:31:00,16:31:00,30_1,5,,0,0,1
3++平日+10,16:32:00,16:32:00,31_1,6,,0,0,1
3++平日+10,16:33:00,16:33:00,32_1,7,,0,0,1
3++平日+10,16:36:00,16:36:00,34_0,8,,0,0,1
3++平日+10,16:38:00,16:38:00,35_0,9,,0,0,1
3++平日+10,16:39:00,16:39:00,36_0,10,,0,0,1
3++平日+10,16:41:00,16:41:00,32_2,11,,0,0,1
3++平日+10,16:42:00,16:42:00,31_2,12,,0,0,1
3++平日+10,16:43:00,16:43:00,30_2,13,,0,0,1
3++平日+10,16:45:00,16:45:00,3_1,14,,0,0,1
3++平日+10,16:51:00,16:51:00,29_0,15,,0,0,1
3++平日+10,16:52:00,16:52:00,3_2,16,,0,0,1
3++平日+10,17:02:00,17:02:00,1_0,17,,1,0,1
3++平日+11,17:08:00,17:08:00,1_0,1,,0,1,1
3++平日+11,17:11:00,17:11:00,3_1,2,,0,0,1
