stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type,stop_code
37_0,大橋場,,35.773576,139.351401,,0,37.0
38_0,JAにしたま瑞穂支店前,,35.770181,139.352324,,0,
39_0,西武信用金庫瑞穂支店北,,35.768597,139.351117,,0,
1_0,箱根ケ崎駅東口,,35.770943,139.347127,1_0,0,
2_0,箱根ケ崎駅西口,,35.7715,139.346177,2_0,0,
3_1,瑞穂町役場,,35.772133,139.353686,3_1,0,
3_2,瑞穂町役場,,35.772094,139.353766,3_2,0,
4_1,病院前,,35.776515,139.352551,4_1,0,
4_2,病院前,,35.776502,139.352626,4_2,0,
5_1,狭山丘陵西,,35.780983,139.355813,5_1,0,
5_2,狭山丘陵西,,35.780931,139.355877,5_2,0,
6_1,瑞穂ケーブルテレビ前,,35.78262,139.358478,6_1,0,
6_2,瑞穂ケーブルテレビ前,,35.782659,139.358671,6_2,0,
7_1,高根下,,35.784713,139.36176,7_1,0,
7_2,高根下,,35.784787,139.362189,7_2,0,
8_1,水天宮入口,,35.786811,139.365788,8_1,0,
8_2,水天宮入口,,35.786345,139.365353,8_2,0,
9_1,坊,,35.788891,139.368642,9_1,0,
9_2,坊,,35.788782,139.368615,9_2,0,
10_1,太子堂入口,,35.790838,139.37087,10_1,0,
10_2,太子堂入口,,35.790916,139.370908,10_2,0,
11_1,駒形町,,35.79136,139.364279,11_1,0,
11_2,駒形町,,35.791491,139.365368,11_2,0,
12_1,瑞穂二本木,,35.791577,139.358402,12_1,0,
12_2,瑞穂二本木,,35.791656,139.358488,12_2,0,
13_0,二本木公園北,,35.792286,139.355151,13_0,0,
14_0,元狭山広域防災広場,,35.792835,139.351364,14_0,0,
15_0,栗原新田,,35.792883,139.345161,15_0,0,
16_1,飯能街道,,35.790114,139.344834,16_1,0,
16_2,飯能街道,,35.790059,139.344963,16_2,0,
17_1,松山町西,,35.78669,139.34686,17_1,0,
17_2,松山町西,,35.785462,139.347928,17_2,0,
18_1,松山町入口,,35.786377,139.354685,18_1,0,
19_1,農協前,,35.790448,139.356048,19_1,0,
20_1,駒形富士山,,35.780266,139.352663,20_1,0,
20_2,駒形富士山,,35.780602,139.352814,20_2,0,
21_1,瑞穂バイパス南,,35.783231,139.353287,21_1,0,
21_2,瑞穂バイパス南,,35.783327,139.353438,21_2,0,
22_1,竜泉寺前,,35.792336,139.33881,22_1,0,
22_2,竜泉寺前,,35.792393,139.338558,22_2,0,
23_1,みずほ園入口,,35.792183,139.336371,23_1,0,
23_2,みずほ園入口,,35.792092,139.336205,23_2,0,
24_1,けんちの苑,,35.786834,139.329607,24_1,0,
24_2,けんちの苑,,35.78645,139.32995,24_2,0,
25_1,長岡長谷部,,35.784662,139.332941,25_1,0,
25_2,長岡長谷部,,35.784658,139.332753,25_2,0,
26_1,第二中学校,,35.781503,139.337636,26_1,0,
26_2,第二中学校,,35.781995,139.336756,26_2,0,
27_1,岩蔵街道入口,,35.777232,139.342384,27_1,0,
27_2,岩蔵街道入口,,35.777067,139.342363,27_2,0,
28_0,オリンピック,,35.775121,139.342237,28_0,0,
29_0,ふれあいセンター,,35.774161,139.357386,29_0,0,
30_1,瑞穂第一小学校,,35.768337,139.354954,30_1,0,
30_2,瑞穂第一小学校,,35.768093,139.355142,30_2,0,
31_1,寄り合いハウスいこい,,35.766164,139.361014,31_1,0,
31_2,寄り合いハウスいこい,,35.766177,139.360735,31_2,0,
32_1,阿豆佐味通り北,,35.763637,139.363414,32_1,0,
32_2,阿豆佐味通り北,,35.763668,139.363334,32_2,0,
34_0,ジョイフル本田,,35.762511,139.3584,34_0,0,
35_0,菜の花クリニック,,35.758031,139.3568,35_0,0,
36_0,阿豆佐味通り南,,35.759175,139.359561,36_0,0,
